epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.208,1.49106,2.96275,1.29776,0.0033,0.91489,0.35727,0.17287,1.30639,3.63445,1.10945,0.00042,0.00042,0.00042
2,273.536,1.45511,1.91144,1.20115,1,0.07059,0.33216,0.12451,1.43209,3.76828,1.34034,0.000842972,0.000842972,0.000842972
3,391.095,1.48487,1.85993,1.27748,0.28109,0.10638,0.10812,0.05624,1.56858,3.86329,1.48541,0.00124852,0.00124852,0.00124852
4,513.922,1.49808,1.72341,1.29141,0.44203,0.20213,0.1919,0.08393,1.55368,5.24416,1.33627,0.00163664,0.00163664,0.00163664
5,632.709,1.48365,1.66613,1.30083,0.53357,0.62766,0.49618,0.23116,1.59353,2.56262,1.4709,0.0018416,0.0018416,0.0018416
6,755.066,1.55077,1.5616,1.30424,0.7684,0.60005,0.70675,0.38602,1.5183,2.72658,1.42766,0.001802,0.001802,0.001802
7,875.575,1.48387,1.47493,1.28667,0.79914,0.67723,0.76817,0.44332,1.41983,2.34585,1.41101,0.0017624,0.0017624,0.0017624
8,993.193,1.42662,1.32673,1.23721,0.76162,0.61184,0.70921,0.38705,1.56306,1.64001,1.4411,0.0017228,0.0017228,0.0017228
9,1111.81,1.42404,1.24372,1.25399,0.65667,0.73253,0.73013,0.40292,1.45439,1.58943,1.34202,0.0016832,0.0016832,0.0016832
